 String , page , X(LeftTop) , Y(LeftTop) ,  X(RightBottom) , Y(RightBottom) , FontSize , LetterSpacing , LineSpacing
輕,1,250,200,334,284,48,20,20
輕,1,334,200,418,284,48,20,20
的,1,418,200,502,284,48,20,20
我,1,502,200,586,284,48,20,20
走,1,586,200,670,284,48,20,20
了,1,670,200,754,284,48,20,20
，,1,754,200,838,284,48,20,20
正,1,250,300,334,384,48,20,20
如,1,334,300,418,384,48,20,20
我,1,418,300,502,384,48,20,20
輕,1,502,300,586,384,48,20,20
輕,1,586,300,670,384,48,20,20
的,1,670,300,754,384,48,20,20
來,1,754,300,838,384,48,20,20
；,1,838,300,922,384,48,20,20
我,1,500,700,584,784,48,20,20
輕,1,584,700,668,784,48,20,20
輕,1,668,700,752,784,48,20,20
的,1,752,700,836,784,48,20,20
招,1,836,700,920,784,48,20,20
手,1,920,700,1004,784,48,20,20
，,1,1004,700,1088,784,48,20,20
作,1,1380,150,1464,234,48,20,20
別,1,1380,234,1464,318,48,20,20
西,1,1380,318,1464,402,48,20,20
天,1,1380,402,1464,486,48,20,20
的,1,1380,486,1464,570,48,20,20
雲,1,1380,570,1464,654,48,20,20
彩,1,1380,654,1464,738,48,20,20
。,1,1380,738,1464,822,48,20,20
