Left X , Left Y , Left Z , Left Diameter , Right X , Right Y , Right Z , Right Diameter ,TimeStamp
0.08,0.14,0.42,2.75,0.06,0.17,0.42,3.32,229636703
0.09,0.14,0.42,2.76,0.06,0.17,0.42,3.32,229647806
0.09,0.14,0.42,2.76,0.06,0.17,0.42,3.32,229658909
0.09,0.14,0.42,2.75,0.06,0.17,0.42,3.33,229670012
0.1,0.15,0.42,2.75,0.06,0.18,0.42,3.33,229681116
0.1,0.15,0.42,2.75,0.06,0.18,0.42,3.32,229692219
0.1,0.15,0.42,2.76,0.05,0.18,0.42,3.31,229703322
0.09,0.14,0.41,2.75,0.06,0.19,0.42,3.32,229714425
0.1,0.16,0.41,2.77,0.06,0.18,0.42,3.33,229725528
0.09,0.15,0.41,2.78,0.06,0.19,0.42,3.33,229736631
0.1,0.15,0.41,2.79,0.06,0.18,0.42,3.33,229747734
0.09,0.14,0.41,2.78,0.06,0.17,0.42,3.33,229758837
0.09,0.15,0.41,2.78,0.06,0.17,0.42,3.33,229769941
0.09,0.15,0.41,2.77,0.06,0.17,0.42,3.34,229781044
0.09,0.15,0.41,2.79,0.06,0.17,0.42,3.33,229792147
0.1,0.16,0.41,2.8,0.07,0.18,0.42,3.34,229803250
0.09,0.17,0.41,2.81,0.06,0.17,0.42,3.33,229814353
0.1,0.16,0.41,2.81,0.06,0.17,0.42,3.34,229825456
0.1,0.15,0.41,2.8,0.06,0.17,0.42,3.34,229836559
0.09,0.14,0.41,2.81,0.06,0.18,0.42,3.36,229847662
0.09,0.15,0.41,2.82,0.06,0.18,0.42,3.37,229858766
0.09,0.15,0.41,2.81,0.06,0.17,0.42,3.38,229869869
0.09,0.15,0.41,2.82,0.06,0.17,0.42,3.37,229880972
0.1,0.14,0.41,2.82,0.06,0.17,0.42,3.37,229892075
0.1,0.15,0.41,2.83,0.06,0.17,0.42,3.38,229903178
0.1,0.15,0.41,2.84,0.06,0.17,0.42,3.39,229914281
0.09,0.15,0.41,2.83,0.06,0.18,0.42,3.39,229925384
0.09,0.15,0.41,2.84,0.06,0.18,0.42,3.39,229936487
0.09,0.16,0.41,2.85,0.06,0.19,0.42,3.38,229947591
0.09,0.16,0.41,2.85,0.06,0.18,0.42,3.39,229958694
0.09,0.16,0.41,2.84,0.05,0.19,0.42,3.39,229969797
0.1,0.15,0.42,2.83,0.05,0.19,0.42,3.4,229980900
0.11,0.15,0.42,2.84,0.06,0.19,0.42,3.41,229992003
0.1,0.15,0.42,2.85,0.06,0.18,0.42,3.41,230003106
0.1,0.16,0.42,2.85,0.06,0.18,0.42,3.41,230014209
0.1,0.16,0.42,2.84,0.06,0.18,0.42,3.41,230025312
0.1,0.16,0.42,2.83,0.05,0.18,0.42,3.42,230036416
0.1,0.16,0.42,2.83,0.05,0.18,0.42,3.43,230047519
0.1,0.15,0.42,2.83,0.05,0.18,0.42,3.42,230058622
0.1,0.15,0.42,2.84,0.05,0.18,0.42,3.42,230069725
0.09,0.16,0.42,2.85,0.05,0.18,0.42,3.42,230080828
0.1,0.16,0.41,2.83,0.05,0.18,0.42,3.42,230091931
0.1,0.17,0.41,2.83,0.06,0.18,0.42,3.43,230103034
0.1,0.16,0.41,2.81,0.06,0.18,0.42,3.43,230114137
0.09,0.15,0.41,2.81,0.06,0.18,0.42,3.43,230125241
0.09,0.15,0.41,2.82,0.06,0.18,0.42,3.43,230136344
0.08,0.14,0.41,2.8,0.06,0.19,0.42,3.42,230147447
0.08,0.14,0.41,2.81,0.06,0.19,0.42,3.42,230158550
0.08,0.14,0.41,2.82,0.06,0.18,0.42,3.42,230169653
0.09,0.15,0.41,2.82,0.06,0.18,0.42,3.43,230180756
0.09,0.16,0.42,2.81,0.06,0.18,0.42,3.43,230191859
0.09,0.16,0.42,2.8,0.06,0.18,0.42,3.43,230202962
0.11,0.15,0.42,2.8,0.08,0.18,0.42,3.43,230214066
0.13,0.15,0.42,2.81,0.1,0.17,0.42,3.42,230225169
0.14,0.15,0.42,2.82,0.11,0.16,0.42,3.42,230236272
0.14,0.16,0.42,2.83,0.11,0.16,0.42,3.42,230247375
0.14,0.16,0.42,2.82,0.11,0.16,0.42,3.42,230258478
0.14,0.16,0.42,2.81,0.11,0.17,0.42,3.42,230269581
0.14,0.16,0.42,2.81,0.11,0.17,0.42,3.42,230280684
0.13,0.15,0.41,2.8,0.11,0.17,0.42,3.42,230291787
0.14,0.15,0.41,2.8,0.1,0.17,0.42,3.42,230302891
0.14,0.15,0.41,2.79,0.1,0.17,0.42,3.41,230313994
0.14,0.15,0.41,2.8,0.1,0.17,0.42,3.41,230325097
0.14,0.15,0.41,2.8,0.1,0.17,0.42,3.41,230336200
0.13,0.16,0.41,2.81,0.1,0.18,0.42,3.41,230347303
0.14,0.17,0.42,2.81,0.1,0.17,0.42,3.41,230358406
0.14,0.16,0.42,2.81,0.1,0.17,0.42,3.41,230369509
0.14,0.16,0.42,2.79,0.1,0.17,0.42,3.41,230380612
0.13,0.16,0.42,2.79,0.1,0.17,0.42,3.42,230391716
0.13,0.16,0.42,2.79,0.1,0.17,0.42,3.41,230402819
0.13,0.16,0.42,2.8,0.11,0.16,0.42,3.41,230413922
0.14,0.15,0.42,2.81,0.11,0.16,0.42,3.4,230425025
0.14,0.15,0.41,2.81,0.11,0.16,0.42,3.4,230436128
